nome,tipo,numero,trunfo,hp,ataque,peso,altura,habilidade
Alola Ninetales,G,1,0,65,67,19.90,1.10,0
Articuno,G,2,0,90,85,55.40,1.70,0
Glalie,G,3,0,80,70,110.00,1.50,0
Glaceon,G,4,0,65,60,25.90,0.80,0
Vaniluxe,G,5,0,71,95,57.50,1.10,0
Kyurem,G,6,1,125,130,220.00,2.60,0
Mr.Rime & Mr.Mime,G,7,0,80,85,58.00,1.50,0
Empoleon,G,8,0,85,86,84.50,1.70,0
Salamence,D,1,0,95,135,102.60,1.50,0
Rayquaza,D,2,1,105,150,206.50,7.00,0
Garchomp,D,3,0,108,130,95.00,1.90,0
Hydreigon,D,4,0,92,125,160.00,1.80,0
Dragapult,D,5,0,88,120,50.00,2.00,0
Goodra,D,6,0,90,100,150.00,2.00,0
Latios & Latias,D,7,0,80,130,40.00,1.80,0
Dragonite,D,8,0,91,134,210.00,2.20,0
Alakazam,P,1,0,55,50,48.00,1.50,0
Mewtwo,P,2,1,106,150,122.00,2.00,0
Espeon,P,3,0,65,65,26.50,0.90,0
Gardevoir,P,4,0,68,85,48.40,1.60,0
Metagross,P,5,0,80,135,220.00,1.60,0
Solrock & Lunatone,P,6,0,90,95,97.00,1.20,0
Hoopa,P,7,0,80,110,30.00,0.60,0
Jirachi,P,8,0,100,100,11.00,0.60,0
Lucario,L,1,0,70,110,54.00,1.20,0
Machamp,L,2,0,90,130,130.00,1.60,0
Toxicroak,L,3,0,83,106,44.40,1.30,0
Hawlucha,L,4,0,78,92,21.50,0.80,0
Urshifu,L,5,0,100,130,105.00,1.90,0
Throh & Sawk,L,6,0,120,100,55.00,1.50,0
Scrafty,L,7,0,65,90,30.00,1.10,0
Primeape,L,8,0,65,105,32.00,1.00,0
